Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,TaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt,Habitat_Type,Previously_Obs
ANTI,Unknown,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,0.0,False,Unknown,Carolina Wren,Thryothorus Ludovicianus,178581.0,88350.0,CARW,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,0.0,False,Unknown,Carolina Chickadee,Poecile Carolinensis,554383.0,265876.0,CACH,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,0.0,False,Undetermined,Eastern Wood-Pewee,Contopus Virens,178359.0,85846.0,EAWP,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Calling,0.0,False,Unknown,American Crow,Corvus Brachyrhynchos,179731.0,87106.0,AMCR,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,0.0,False,Undetermined,Indigo Bunting,Passerina Cyanea,179150.0,94257.0,INBU,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,0.0,False,Unknown,Eastern Tufted Titmouse,Baeolophus Bicolor,554138.0,266957.0,ETTI,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,7.5 - 10 min,Singing,0.0,False,Undetermined,Yellow Warbler,Setophaga Petechia,950039.0,773778.0,YEWA,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Visualization,0.0,False,Unknown,Mourning Dove,Zenaida Macroura,177125.0,82737.0,MODO,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,0.0,False,Undetermined,Field Sparrow,Spizella Pusilla,179443.0,84790.0,FISP,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,5 - 7.5 min,Calling,0.0,False,Unknown,Red-Bellied Woodpecker,Melanerpes Carolinus,178195.0,84865.0,RBWO,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,7.5 - 10 min,Singing,0.0,False,Undetermined,Eastern Tufted Titmouse,Baeolophus Bicolor,554138.0,266957.0,ETTI,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,0-2.5 min,Singing,0.0,False,Undetermined,Eastern Tufted Titmouse,Baeolophus Bicolor,554138.0,266957.0,ETTI,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,0-2.5 min,Singing,0.0,False,Unknown,Eastern Bluebird,Sialia Sialis,179801.0,87184.0,EABL,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,0-2.5 min,Calling,0.0,False,Unknown,Downy Woodpecker,Picoides Pubescens,178259.0,84936.0,DOWO,False,True,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,0-2.5 min,Singing,0.0,False,Undetermined,Chipping Sparrow,Spizella Passerina,179435.0,84781.0,CHSP,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,2.5 - 5 min,Singing,0.0,False,Unknown,Carolina Wren,Thryothorus Ludovicianus,178581.0,88350.0,CARW,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,0-2.5 min,Calling,0.0,False,Unknown,Carolina Wren,Thryothorus Ludovicianus,178581.0,88350.0,CARW,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,7.5 - 10 min,Singing,0.0,False,Unknown,Baltimore Oriole,Icterus Galbula,179083.0,93655.0,BAOR,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,0-2.5 min,Singing,0.0,False,Unknown,Northern Cardinal,Cardinalis Cardinalis,179124.0,94228.0,NOCA,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,06:02:00,06:12:00,Kimberly Serno,1,2.5 - 5 min,Calling,0.0,False,Unknown,Great Crested Flycatcher,Myiarchus Crinitus,178309.0,85791.0,GCFL,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,2.5 - 5 min,Singing,0.0,False,Undetermined,Eastern Wood-Pewee,Contopus Virens,178359.0,85846.0,EAWP,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,7.5 - 10 min,Singing,0.0,False,Undetermined,Field Sparrow,Spizella Pusilla,179443.0,84790.0,FISP,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,2.5 - 5 min,Singing,0.0,False,Undetermined,Indigo Bunting,Passerina Cyanea,179150.0,94257.0,INBU,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,0-2.5 min,Calling,0.0,False,Unknown,Mourning Dove,Zenaida Macroura,177125.0,82737.0,MODO,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,0-2.5 min,Singing,0.0,False,Unknown,Northern Cardinal,Cardinalis Cardinalis,179124.0,94228.0,NOCA,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,7.5 - 10 min,Singing,0.0,False,Undetermined,Chipping Sparrow,Spizella Passerina,179435.0,84781.0,CHSP,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,5 - 7.5 min,Singing,0.0,False,Undetermined,Eastern Towhee,Pipilo Erythrophthalmus,179276.0,83803.0,EATO,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,0-2.5 min,Singing,0.0,False,Undetermined,Field Sparrow,Spizella Pusilla,179443.0,84790.0,FISP,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,5 - 7.5 min,Calling,0.0,False,Unknown,Blue-Gray Gnatcatcher,Polioptila Caerulea,179853.0,88038.0,BGGN,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,2.5 - 5 min,Calling,0.0,False,Unknown,Carolina Chickadee,Poecile Carolinensis,554383.0,265876.0,CACH,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,5 - 7.5 min,Calling,0.0,False,Unknown,Cedar Waxwing,Bombycilla Cedrorum,178532.0,88296.0,CEDW,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,07:21:00,07:31:00,Kimberly Serno,1,2.5 - 5 min,Singing,0.0,False,Undetermined,Eastern Towhee,Pipilo Erythrophthalmus,179276.0,83803.0,EATO,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,0-2.5 min,Calling,0.0,False,Unknown,Blue Jay,Cyanocitta Cristata,179680.0,86252.0,BLJA,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,0.0,False,Undetermined,Eastern Bluebird,Sialia Sialis,179801.0,87184.0,EABL,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,0-2.5 min,Calling,0.0,False,Unknown,American Goldfinch,Spinus Tristis,179236.0,95300.0,AMGO,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,0-2.5 min,Visualization,0.0,True,Unknown,Cedar Waxwing,Bombycilla Cedrorum,178532.0,88296.0,CEDW,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,0-2.5 min,Singing,0.0,False,Undetermined,Field Sparrow,Spizella Pusilla,179443.0,84790.0,FISP,False,True,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,0.0,False,Undetermined,Indigo Bunting,Passerina Cyanea,179150.0,94257.0,INBU,False,True,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,5 - 7.5 min,Visualization,0.0,True,Unknown,Red-Winged Blackbird,Agelaius Phoeniceus,179045.0,93613.0,RWBL,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,08:28:00,08:38:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,0.0,False,Unknown,Northern Mockingbird,Mimus Polyglottos,178620.0,88394.0,NOMO,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,0-2.5 min,Calling,0.0,False,Unknown,Carolina Wren,Thryothorus Ludovicianus,178581.0,88350.0,CARW,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,0.0,False,Unknown,Eastern Tufted Titmouse,Baeolophus Bicolor,554138.0,266957.0,ETTI,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,0.0,False,Male,Pileated Woodpecker,Dryocopus Pileatus,178166.0,84833.0,PIWO,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,0.0,False,Undetermined,Pileated Woodpecker,Dryocopus Pileatus,178166.0,84833.0,PIWO,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,0-2.5 min,Singing,0.0,False,Unknown,Northern Cardinal,Cardinalis Cardinalis,179124.0,94228.0,NOCA,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,0-2.5 min,Calling,0.0,False,Unknown,Northern Cardinal,Cardinalis Cardinalis,179124.0,94228.0,NOCA,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Visualization,0.0,False,Undetermined,Brown-Headed Cowbird,Molothrus Ater,179112.0,94215.0,BHCO,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,0.0,False,Undetermined,Field Sparrow,Spizella Pusilla,179443.0,84790.0,FISP,False,True,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,0.0,False,Unknown,Eastern Tufted Titmouse,Baeolophus Bicolor,554138.0,266957.0,ETTI,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,0.0,False,Undetermined,Eastern Wood-Pewee,Contopus Virens,178359.0,85846.0,EAWP,False,True,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,0-2.5 min,Singing,0.0,False,Unknown,Cedar Waxwing,Bombycilla Cedrorum,178532.0,88296.0,CEDW,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,0-2.5 min,Calling,0.0,False,Unknown,Blue-Gray Gnatcatcher,Polioptila Caerulea,179853.0,88038.0,BGGN,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,09:26:00,09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Visualization,0.0,False,Male,Brown-Headed Cowbird,Molothrus Ater,179112.0,94215.0,BHCO,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,10:01:00,10:11:00,Elizabeth Oswald,1,0-2.5 min,Singing,0.0,False,Unknown,Cedar Waxwing,Bombycilla Cedrorum,178532.0,88296.0,CEDW,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,10:01:00,10:11:00,Elizabeth Oswald,1,0-2.5 min,Singing,0.0,False,Unknown,Carolina Wren,Thryothorus Ludovicianus,178581.0,88350.0,CARW,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,10:01:00,10:11:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,0.0,False,Unknown,Carolina Chickadee,Poecile Carolinensis,554383.0,265876.0,CACH,False,True,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,10:01:00,10:11:00,Elizabeth Oswald,1,0-2.5 min,Calling,0.0,False,Unknown,Eastern Tufted Titmouse,Baeolophus Bicolor,554138.0,266957.0,ETTI,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,10:01:00,10:11:00,Elizabeth Oswald,1,0-2.5 min,Singing,0.0,False,Unknown,Northern Cardinal,Cardinalis Cardinalis,179124.0,94228.0,NOCA,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,10:01:00,10:11:00,Elizabeth Oswald,1,0-2.5 min,Calling,0.0,False,Unknown,Red-Bellied Woodpecker,Melanerpes Carolinus,178195.0,84865.0,RBWO,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,10:01:00,10:11:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,0.0,False,Undetermined,Red-Eyed Vireo,Vireo Olivaceus,179021.0,93587.0,REVI,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,Forest,
ANTI,Unknown,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,10:01:00,10:11:00,Elizabeth Oswald,1,0-2.5 min,Calling,0.0,False,Unknown,Eastern Bluebird,Sialia Sialis,179801.0,87184.0,EABL,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,Forest,
ANTI,Unknown,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,10:01:00,10:11:00,Elizabeth Oswald,1,5 - 7.5 min,Calling,0.0,False,Unknown,Unidentified Chickadee,Poecile,553526.0,263793.0,UNCH,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,Forest,
